"금연구역명",금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
"파리바게뜨",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 71,경기도 오산시 갈곶동126-4,경기도 오산시청,37.13323968,127.0688959,2021-08-06
"미래프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 동부대로 355,경기도 오산시 고현동3,경기도 오산시청,37.13376393,127.0778992,2021-08-06
"리치타워",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 79,경기도 오산시 갈곶동675,경기도 오산시청,37.13396381,127.0688433,2021-08-06
"로얄프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 105,경기도 오산시 원동806-5,경기도 오산시청,37.13407957,127.0723718,2021-08-06
"한빛프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 108,경기도 오산시 원동495,경기도 오산시청,37.13418562,127.073102,2021-08-06
"수성빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 남부대로 330-17,경기도 오산시 원동806-4,경기도 오산시청,37.13442848,127.0723281,2021-08-06
"한국전력",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 남부대로 334,경기도 오산시 원동806,경기도 오산시청,37.13545144,127.072507,2021-08-06
"㈜창덕",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 동부대로 384,경기도 오산시 원동535-9,경기도 오산시청,37.13608959,127.0804316,2021-08-06
"왕호랑이체육관",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 남부대로 327,경기도 오산시 원동447-5,경기도 오산시청,37.13609901,127.0718039,2021-08-06
"상점",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 남부대로 335,"경기도 오산시 원동 507-5, 외8필지",경기도 오산시청,37.13611082,127.0726725,2021-08-06
"오산원동 푸르지오 상가",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 남부대로 411-13,경기도 오산시 원동826-2,경기도 오산시청,37.13630835,127.0825624,2021-08-06
"공장",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 수목원로 46-39,경기도 오산시 누읍동 141-12,경기도 오산시청,37.1364335,127.0575674,2021-08-06
"오렌지팩토리아울렛",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 133,경기도 오산시 원동423-1,경기도 오산시청,37.13674837,127.0727483,2021-08-06
"(주)화승켐텍 오산공장",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 수목원로 46-35,경기도 오산시 누읍동 141-10,경기도 오산시청,37.13681984,127.0578277,2021-08-06
"다짐프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 밀머리로 64,경기도 오산시 원동578-4,경기도 오산시청,37.13704872,127.0771199909,2021-08-06
"알파문구",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 123-3,경기도 오산시 오산동793-6,경기도 오산시청,37.13766214,127.0685113,2021-08-06
"농협",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 152,경기도 오산시 원동387,경기도 오산시청,37.13802787,127.0737737,2021-08-06
"승희프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 132번길 28-19,경기도 오산시 원동404-13,경기도 오산시청,37.1382381,127.0727351,2021-08-06
"중앙스틸㈜",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 발안로 1245,경기도 오산시 벌음동129-3,경기도 오산시청,37.13826436,127.0358769,2021-08-06
"오산스포렉스",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 123-16,경기도 오산시 오산동789-2,경기도 오산시청,37.13839943,127.067495,2021-08-06
"패션폴라리스",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 154,경기도 오산시 원동391-1,경기도 오산시청,37.13849384,127.0738675,2021-08-06
"대원동주민센터",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 132번길 28,경기도 오산시 원동404-8,경기도 오산시청,37.13861996,127.0717161,2021-08-06
"대림프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 132번길 36,경기도 오산시 원동404-15,경기도 오산시청,37.13865323,127.072726,2021-08-06
"공공청사",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 초평중앙로 77,경기도 오산시 벌음동 277,경기도 오산시청,37.14018094,127.044095,2021-08-06
"다모아프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 174,경기도 오산시 원동372-1,경기도 오산시청,37.14027925,127.073793,2021-08-06
"다다플러스",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 발안로 1356-9,경기도 오산시 누읍동528,경기도 오산시청,37.14062058,127.0482142,2021-08-06
"교회",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 동부대로436번길 14,경기도 오산시 원동 569-3,경기도 오산시청,37.14062639,127.0793022,2021-08-06
"비전탑",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 178,경기도 오산시 원동374-4,경기도 오산시청,37.14064303,127.0739045,2021-08-06
"오산 이마트",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 181,경기도 오산시 원동360-6,경기도 오산시청,37.14066107,127.0727039,2021-08-06
"정호빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 발안로 1350,경기도 오산시 누읍동534-4,경기도 오산시청,37.14101062,127.0469498,2021-08-06
"한국병원",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 밀머리로1번길 12-6,"경기도 오산시 원동 560-41, 외11필지",경기도 오산시청,37.14104108,127.074831,2021-08-06
"세란빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 발안로 1356-3,경기도 오산시 누읍동532,경기도 오산시청,37.14107881,127.0476676,2021-08-06
"헤라PC방건물",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 밀머리로 8,경기도 오산시 원동373-4,경기도 오산시청,37.14115446,127.0737769,2021-08-06
"원동 G-MATE",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 160번길 7,경기도 오산시 원동345-12,경기도 오산시청,37.14144289,127.0696109,2021-08-06
"양우프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 164,경기도 오산시 원동845,경기도 오산시청,37.14146807,127.0690764,2021-08-06
"코스모타워",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 160번길 15,경기도 오산시 원동349-7,경기도 오산시청,37.14148379,127.0703925,2021-08-06
"대성빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 밀머리로1번길 28,경기도 오산시 원동562-19,경기도 오산시청,37.14154141,127.0767128,2021-08-06
"우리은행",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 187,경기도 오산시 원동373-1,경기도 오산시청,37.14158099,127.073109,2021-08-06
"유탑유플레이스",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 원동로 30-7,경기도 오산시 원동 360-15,경기도 오산시청,37.141625,127.0723046,2021-08-06
"건정 프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 160번길 5-6,경기도 오산시 원동345-10,경기도 오산시청,37.14167998,127.0695666,2021-08-06
"호산프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 160번길 5-12,경기도 오산시 원동346-11,경기도 오산시청,37.1416968,127.0699249,2021-08-06
"퍼스트랜드",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 160번길 5-14,경기도 오산시 원동347-8,경기도 오산시청,37.14175321,127.0703837,2021-08-06
"메딕프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 189,경기도 오산시 원동333-18,경기도 오산시청,37.1417853,127.0730356,2021-08-06
"오산파크스퀘어",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 원동로 6,경기도 오산시 원동841,경기도 오산시청,37.14203766,127.0696385,2021-08-06
LG베스트샵,건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 원동로 30-4,경기도 오산시 원동 335-6,경기도 오산시청,37.1421966,127.0716249,2021-08-06
"석산빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 발안로 1367,경기도 오산시 누읍동431-1,경기도 오산시청,37.14227553,127.047853,2021-08-06
"디지털프라자 G오산점",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 원동로 34,"경기도 오산시 원동 333-23, 외3필지",경기도 오산시청,37.1422709,127.0724228,2021-08-06
"시네마아울렛",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 198,경기도 오산시 원동300-8,경기도 오산시청,37.14230163,127.0738742,2021-08-06
"오산중기,용인토종순대국",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 동부대로 453,경기도 오산시 원동119-75,경기도 오산시청,37.14249186,127.0776611,2021-08-06
"관광숙박시설",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 원동로 5,경기도 오산시 원동 780-4,경기도 오산시청,37.14261473,127.0691300464,2021-08-06
"럭키할인마트",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 부원로 67-7,경기도 오산시 원동31-1,경기도 오산시청,37.14321414,127.0867605,2021-08-06
"스시어왕(1층)",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 운천로 7,"경기도 오산시 원동 296-14, 외1필지",경기도 오산시청,37.1434079,127.0741095,2021-08-06
"전자랜드",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 210,경기도 오산시 원동790-4,경기도 오산시청,37.14346387,127.0738000052,2021-08-06
"탑프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 193,경기도 오산시 오산동882-2,경기도 오산시청,37.14407317,127.068074,2021-08-06
"업무시설,공동주택",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로190번길 41,"경기도 오산시 원동 768-14, 외1필지",경기도 오산시청,37.14419206,127.0731428,2021-08-06
"하이마트 오산점",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 경기대로 224,경기도 오산시 원동767-2,경기도 오산시청,37.14469143,127.0738694,2021-08-06
"동양프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 199,경기도 오산시 오산동881-7,경기도 오산시청,37.14470269,127.0683035,2021-08-06
LG이노텍,건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 황새로 211,경기도 오산시 가수동 379-3,경기도 오산시청,37.14472873,127.0607058,2021-08-06
"미즈모아산부인과",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 201,경기도 오산시 오산동881-6,경기도 오산시청,37.14490094,127.0682762,2021-08-06
"비비피아쇼핑몰",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 원동로 37번길30,경기도 오산시 원동770-14,경기도 오산시청,37.14508519,127.0710691,2021-08-06
"정화프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 206,경기도 오산시 원동777-20,경기도 오산시청,37.14519814,127.0686978,2021-08-06
"제일빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 207,경기도 오산시 오산동881-3,경기도 오산시청,37.14522888,127.0682123,2021-08-06
"구성빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 원동로 37번길37,경기도 오산시 원동776-9,경기도 오산시청,37.14527062,127.070324,2021-08-06
"동일빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 역광장로 55,경기도 오산시 오산동603-33,경기도 오산시청,37.14536005,127.0674532,2021-08-06
"은진빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 운천로 31,경기도 오산시 원동274-8,경기도 오산시청,37.14544372,127.0741577,2021-08-06
"시범약국",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 214,경기도 오산시 원동762-26,경기도 오산시청,37.1459619,127.0686693,2021-08-06
"라이온스빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 운천로 39,경기도 오산시 원동275-1,경기도 오산시청,37.14600927,127.0742299826,2021-08-06
"롯데시네마오산",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 원동로 37번길46,경기도 오산시 원동763-21,경기도 오산시청,37.1460588,127.0704376,2021-08-06
"스위티PC방 건물",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 오산로 212번길11-3,경기도 오산시 원동762-21,경기도 오산시청,37.14609385,127.0696835,2021-08-06
"역전빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 대원로 6,경기도 오산시 원동 762-3,경기도 오산시청,37.14610776,127.0690082,2021-08-06
"오산 산부인과의원(우먼필)",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 대원로 34,경기도 오산시 원동764-6,경기도 오산시청,37.14611828,127.0722204,2021-08-06
"우먼필산후조리원",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 대원로 24,경기도 오산시 원동 763-25,경기도 오산시청,37.14614988,127.0709195,2021-08-06
"명동빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 대원로 14,경기도 오산시 원동 762-16,경기도 오산시청,37.14617793,127.0699738,2021-08-06
"중앙씨티월2",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 대원로 63,경기도 오산시 원동 813-8,경기도 오산시청,37.14656702,127.0755333,2021-08-06
"운암프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 대원로 65,경기도 오산시 원동 813-9,경기도 오산시청,37.14656923,127.0758718,2021-08-06
"랜드빌프라자",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 대원로 59,경기도 오산시 원동 813-6,경기도 오산시청,37.14657817,127.0751338,2021-08-06
"태호빌딩",건축물 전구역,경기도,오산시,"연면적1,000㎡이상의 복합용도 건축물",국민건강증진법제9조,,100000,031-8036-6083,경기도 오산시 대원로 33,경기도 오산시 원동 758-14,경기도 오산시청,37.14658576,127.0722014,2021-08-06
